hpo_iri,hpo_label,term,term_label,do_type,digital_object,file_url
http://purl.obolibrary.org/obo/HP_0410157,Increased level of N-acetylneuraminic acid in fibroblasts,http://purl.obolibrary.org/obo/CL_0000057,fibroblast,2d-ftu,https://purl.humanatlas.io/2d-ftu/small-intestine-villus,https://cdn.humanatlas.io/digital-objects/2d-ftu/small-intestine-villus/v1.1/assets/2d-ftu-small-intestine-villus.svg
http://purl.obolibrary.org/obo/HP_0005403,Decreased total T cell count,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0005415,Decreased CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0031392,Abnormal CD4+ T cell subset proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0031396,Abnormal naive T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0031397,Decreased naive T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0031398,Increased naive T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0002843,Abnormal T cell morphology,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0032182,Abnormal memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0032183,Decreased memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0041080,Abnormal proportion of exhausted T cells,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0020177,Abnormal proportion of CD8-positive TEMRA T cells,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410373,Abnormal naive CD4+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410375,Increased naive CD4+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410378,Decreased naive CD4+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410379,Abnormal CD4+ memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410380,Abnormal memory CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410383,Abnormal effector memory CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410384,Abnormal central memory CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410385,Decreased CD8+ memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410386,Decreased CD4+ memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410389,Decreased central memory CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410390,Decreased effector memory CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410391,Increased CD4+ memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410392,Increased CD8+ memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410395,Increased effector memory CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0410396,Increased central memory CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0031393,Abnormal CD8+ T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0025624,Decreased CD4+ effector memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
http://purl.obolibrary.org/obo/HP_0025625,Increased CD4+ effector memory T cell proportion,http://purl.obolibrary.org/obo/CL_0000084,T cell,2d-ftu,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.4/assets/2d-ftu-thymus-thymus-lobule.svg
